,Env
DRR139303,root:Host-associated:Human:Digestive system:Oral:tongue dorsum
ERZ1674136,root:Host-associated:Human:Digestive system:Oral:Saliva
SRR5287414,root:Host-associated:Mammals:Digestive system:Stomach:Rumen
SRR3426398,root:Host-associated:Mammals:Digestive system:Stomach:Rumen
ERR2842070,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Pharynx
ERR3771328,root:Host-associated:Human:Digestive system:Large intestine:Fecal
SRR1581202,root:Host-associated:Human:Digestive system:Oral:Saliva
SRR6517611,root:Environmental:Aquatic:Marine:Coastal:Sediment
SRR2242502,root:Host-associated:Mammals:Digestive system:Stomach:Rumen
ERZ2916004,root:Host-associated:Birds:Digestive system:Digestive tube:Cecum
ERR441121,root:Host-associated:Human:Digestive system:Oral:tongue dorsum
ERR1582241,root:Environmental:Aquatic:Freshwater:Wetlands:Bog
SRR4303357,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Pharynx
SRR5002964,root:Environmental:Aquatic:Freshwater:Groundwater:Biofilm
ERR2715261,root:Environmental:Aquatic:Freshwater:Lentic:Sediment
SRR4790749,root:Host-associated:Human:Digestive system:Large intestine:Fecal
SRR6507683,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Nasal cavity
SRR6465263,root:Host-associated:Human:Digestive system:Oral:Saliva
ERR3046415,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERR2816805,root:Environmental:Aquatic:Marine:Intertidal zone:Coral reef
ERR2211861,root:Environmental:Aquatic:Freshwater:Groundwater:Biofilm
ERR1583312,root:Environmental:Aquatic:Freshwater:Wetlands:Bog
SRR3633049,root:Environmental:Aquatic:Marine:Intertidal zone:Coral reef
SRR5287355,root:Host-associated:Mammals:Digestive system:Stomach:Rumen
SRR6507516,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Nasal cavity
SRR7078666,root:Host-associated:Birds:Digestive system:Digestive tube:Cecum
DRR161806,root:Host-associated:Human:Digestive system:Oral:tongue dorsum
SRR4303252,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Pharynx
DRR161705,root:Host-associated:Human:Digestive system:Oral:tongue dorsum
SRR1288493,root:Host-associated:Human:Digestive system:Large intestine:Fecal
SRR3034966,root:Host-associated:Human:Digestive system:Oral:Saliva
SRR6148393,root:Host-associated:Human:Digestive system:Oral:Saliva
SRR2913585,root:Environmental:Aquatic:Marine:Cold seeps:Sediment
SRR3633389,root:Environmental:Aquatic:Marine:Intertidal zone:Coral reef
SRR4304098,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Pharynx
SRR4303973,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Pharynx
ERR2816427,root:Environmental:Aquatic:Marine:Intertidal zone:Coral reef
SRR5185640,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Nasal cavity
ERR2724992,root:Host-associated:Mammals:Digestive system:Stomach:Rumen
SRR3624180,root:Environmental:Aquatic:Marine:Intertidal zone:Coral reef
SRR4303801,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Pharynx
DRR161797,root:Host-associated:Human:Digestive system:Oral:tongue dorsum
SRR4302570,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Pharynx
ERR479376,root:Host-associated:Mammals:Digestive system:Large intestine:Fecal
SRR1583638,root:Host-associated:Human:Digestive system:Oral:Saliva
DRR018702,root:Host-associated:Human:Digestive system:Oral:Saliva
ERR2816625,root:Environmental:Aquatic:Marine:Intertidal zone:Coral reef
DRR084431,root:Environmental:Aquatic:Marine:Coastal:Sediment
SRR1930696,root:Environmental:Aquatic:Freshwater:Groundwater:Biofilm
SRR5434006,root:Environmental:Aquatic:Freshwater:Groundwater:Biofilm
